Date,Time of Day,Channel,Revenue,Average Order Size,Conversions,Customer Type,Sales Rep,Business
2023-11-19,Morning,Google Ads,441.61,421.48,38,Returning,John Ramirez,Glow & Go Studio
2023-07-16,Night,Email,272.98,113.86,3,Returning,Ashley King,Glow & Go Studio
2023-04-16,Night,Referral,122.9,43.05,1,New,Mark Taylor Jr.,Glow & Go Studio
2023-03-08,Evening,Instagram,266.97,128.07,4,Returning,Barry Gregory,Glow & Go Studio
2023-11-30,Night,Facebook,102.5,30.45,1,New,Janet Shelton,Glow & Go Studio
2023-05-17,Evening,Referral,200,69.54,2,Returning,Marco Davis,Glow & Go Studio
2023-05-04,Night,Referral,324.66,214.37,23,New,Paul Saunders,Glow & Go Studio
2023-01-11,Afternoon,Instagram,29.66,10.72,0,New,Christina Bates,Glow & Go Studio
2023-03-31,Evening,Facebook,389.68,202.09,11,New,Dennis Cooper PhD,Glow & Go Studio
2023-07-08,Night,Instagram,375.98,264.98,5,New,Tiffany Johnson,Glow & Go Studio
2023-12-10,Evening,Google Ads,207.18,81.53,3,Returning,Thomas Reyes,Glow & Go Studio
2023-08-05,Afternoon,Email,460.31,222.47,4,New,James Stevens,Glow & Go Studio
2023-09-22,Evening,Walk-in,371.88,89.6,21,Returning,Justin Dalton,Glow & Go Studio
2023-08-26,Night,Google Ads,14.84,4.15,0,Returning,Michael Henry,Glow & Go Studio
2023-07-16,Morning,Referral,367.54,112.18,19,Returning,Mike Freeman,Glow & Go Studio
2023-11-17,Morning,Email,447.06,218.12,6,Returning,Michael Keller,Glow & Go Studio
2023-12-20,Night,Referral,199.83,44.38,2,Returning,Laura Alvarez,Glow & Go Studio
2023-11-04,Afternoon,Google Ads,183.37,41.2,2,New,Katie Myers,Glow & Go Studio
2023-06-19,Night,Instagram,65.44,13.99,0,Returning,Wesley Jensen MD,Glow & Go Studio
2023-03-19,Morning,Facebook,237.92,163.2,3,Returning,Erica Johnson,Glow & Go Studio
2023-12-23,Morning,Referral,360.54,148.27,5,New,Russell Bailey,Glow & Go Studio
2023-04-29,Morning,Facebook,407.74,117.89,23,New,Alyssa Vance,Glow & Go Studio
2023-04-28,Morning,Referral,243.62,142.3,10,New,Brent Reed,Glow & Go Studio
2023-03-10,Morning,Instagram,134.32,27.27,2,New,Gregory Stanley,Glow & Go Studio
2023-07-23,Night,Facebook,114.02,33.13,2,Returning,Matthew Watkins,Glow & Go Studio
2023-08-20,Evening,Instagram,161.32,65.4,2,Returning,Ana Torres,Glow & Go Studio
2023-05-11,Afternoon,Walk-in,166.1,50.59,3,Returning,Alejandro Nguyen,Glow & Go Studio
2023-10-06,Afternoon,Email,363.23,116.9,7,New,Scott Bradley,Glow & Go Studio
2023-08-07,Morning,Instagram,87.36,69.06,1,Returning,Deborah Dominguez,Glow & Go Studio
2023-07-16,Evening,Walk-in,391.19,90.2,9,Returning,Victoria Gray,Glow & Go Studio
2023-10-08,Night,Walk-in,151.88,61.06,1,New,Kenneth Stokes,Glow & Go Studio
2023-11-13,Afternoon,Email,52.59,17.58,2,Returning,Michael Rogers,Glow & Go Studio
2023-09-27,Morning,Walk-in,183.3,146.21,17,Returning,Pamela Morgan,Glow & Go Studio
2023-03-01,Morning,Google Ads,262.47,79.66,9,New,Heidi Graham,Glow & Go Studio
2023-11-09,Afternoon,Email,16.03,3.34,0,Returning,Ryan Cobb PhD,Glow & Go Studio
2023-01-18,Evening,Walk-in,259.45,56.95,5,Returning,Donna Williams,Glow & Go Studio
2023-12-06,Morning,Instagram,479.09,371.04,14,New,Jennifer Perez PhD,Glow & Go Studio
2023-02-11,Morning,Instagram,188.67,80.34,5,New,Ryan Davis,Glow & Go Studio
2023-03-24,Afternoon,Google Ads,389.93,126.34,9,Returning,Austin Solis,Glow & Go Studio
2023-09-10,Evening,Google Ads,473.56,335.8,15,Returning,Daniel Flynn,Glow & Go Studio
2023-08-03,Morning,Email,276.24,82.62,3,Returning,Elizabeth Brock,Glow & Go Studio
2023-07-06,Evening,Email,49.28,29.62,0,New,Joshua Gonzalez,Glow & Go Studio
2023-03-25,Night,Instagram,149.33,77.33,1,New,Mario Chavez,Glow & Go Studio
2023-05-12,Night,Instagram,130.97,41.08,1,New,Catherine Smith,Glow & Go Studio
2023-07-01,Night,Google Ads,59.46,15.75,1,Returning,Shari Ray,Glow & Go Studio
2023-09-04,Night,Email,332.13,98.85,13,New,Victor Harmon,Glow & Go Studio
2023-08-19,Morning,Walk-in,152,31.2,5,Returning,Timothy Patel,Glow & Go Studio
2023-11-25,Night,Instagram,499.06,132.19,5,New,Patricia Hamilton,Glow & Go Studio
2023-01-21,Afternoon,Google Ads,324.07,171,5,New,Lori Boyd,Glow & Go Studio
2023-10-01,Evening,Google Ads,85.96,48.7,1,New,Charles Hernandez,Glow & Go Studio
2023-01-10,Morning,Referral,338.51,110.3,15,New,Elizabeth Graham,Glow & Go Studio
2023-03-02,Night,Instagram,96.68,22.39,1,Returning,Ronald Brown,Glow & Go Studio
2023-05-29,Afternoon,Referral,399.62,183.77,5,Returning,Jason Colon,Glow & Go Studio
2023-02-14,Afternoon,Facebook,421.41,295.37,6,New,Dawn Burke,Glow & Go Studio
2023-09-09,Evening,Email,352.99,73.94,14,Returning,Brian Lee,Glow & Go Studio
2023-04-20,Morning,Email,155.86,79,2,New,Ronald Marshall,Glow & Go Studio
2023-02-20,Evening,Email,271.16,80.16,4,New,Jessica Lucas,Glow & Go Studio
2023-09-23,Night,Email,49.93,33.79,1,New,Christopher Taylor,Glow & Go Studio
2023-05-20,Morning,Instagram,243.47,221.89,5,New,Robert Hopkins,Glow & Go Studio
2023-08-06,Night,Walk-in,391.42,92.54,5,Returning,Samuel Stuart,Glow & Go Studio
2023-11-14,Night,Walk-in,197.69,65.22,9,Returning,Mr. Scott Miller,Glow & Go Studio
2023-09-25,Evening,Google Ads,258.25,240.53,5,New,Sharon Lester,Glow & Go Studio
2023-04-20,Afternoon,Email,479.07,115.3,5,New,Jack Sandoval,Glow & Go Studio
2023-06-15,Afternoon,Referral,453.68,163.28,7,Returning,Tony Ramsey,Glow & Go Studio
2023-07-08,Morning,Email,377.03,229.09,15,New,Brian Navarro,Glow & Go Studio
2023-10-30,Evening,Instagram,217.2,54.36,3,New,Kelly Calderon,Glow & Go Studio
2023-07-09,Morning,Instagram,476.45,103.24,6,New,Tara King,Glow & Go Studio
2023-02-04,Evening,Referral,93.22,60.29,2,Returning,Cynthia Martinez,Glow & Go Studio
2023-10-20,Night,Facebook,211.08,71.66,8,New,Erin Silva,Glow & Go Studio
2023-08-04,Afternoon,Walk-in,250.21,70.86,6,Returning,Paul Young,Glow & Go Studio
2023-05-23,Evening,Walk-in,186.87,43.77,2,Returning,Charles Thompson,Glow & Go Studio
2023-06-29,Morning,Google Ads,210.96,204.83,3,Returning,Jessica King,Glow & Go Studio
2023-11-25,Evening,Instagram,160.29,47.42,3,New,Katherine Brooks,Glow & Go Studio
2023-01-02,Evening,Email,140.88,33.71,2,New,Emily Coleman,Glow & Go Studio
2023-09-18,Morning,Instagram,88.04,36.33,7,New,Tracey Suarez,Glow & Go Studio
2023-10-16,Evening,Google Ads,438.05,246.01,5,New,Heidi Baldwin,Glow & Go Studio
2023-09-03,Evening,Facebook,155.7,92.15,3,New,Alisha Rasmussen,Glow & Go Studio
2023-04-26,Morning,Referral,345.66,165.63,4,Returning,Sarah Bates,Glow & Go Studio
2023-01-05,Morning,Walk-in,99.45,56.97,1,Returning,Melissa Mccormick,Glow & Go Studio
2023-12-20,Afternoon,Email,446.78,306.81,13,New,Juan Parker,Glow & Go Studio
2023-04-06,Morning,Facebook,111.78,41.08,2,New,Heidi Burnett,Glow & Go Studio
2023-11-16,Evening,Instagram,113.33,25.86,2,New,Sean Mathews,Glow & Go Studio
2023-03-02,Evening,Facebook,315.17,124.14,8,New,Theodore Long,Glow & Go Studio
2023-07-15,Night,Walk-in,445.4,160.28,10,New,Dawn Davis,Glow & Go Studio
2023-10-09,Evening,Instagram,306.5,81.3,3,New,Cynthia Clark,Glow & Go Studio
2023-09-24,Morning,Facebook,159.23,33.77,3,New,Sydney Welch,Glow & Go Studio
2023-12-28,Morning,Referral,91.66,56.83,1,Returning,Pamela Sullivan,Glow & Go Studio
2023-05-25,Afternoon,Referral,242.58,111.47,3,New,Sean Morrow,Glow & Go Studio
2023-02-16,Afternoon,Walk-in,441.92,242.75,16,Returning,Kaitlin Gutierrez,Glow & Go Studio
2023-01-10,Evening,Instagram,152.84,36.71,3,New,Michelle Mcdowell,Glow & Go Studio
2023-06-08,Morning,Walk-in,403.62,82.41,13,New,Samantha Hale,Glow & Go Studio
2023-07-17,Morning,Instagram,35.16,16.78,0,Returning,Heather Guzman,Glow & Go Studio
2023-01-05,Morning,Referral,341.87,195.12,5,Returning,Nancy Chavez,Glow & Go Studio
2023-06-02,Night,Google Ads,276.88,156.53,20,Returning,Anthony May,Glow & Go Studio
2023-01-13,Afternoon,Google Ads,393.1,158.34,11,Returning,Rachel Taylor,Glow & Go Studio
2023-04-26,Night,Google Ads,224.9,46.48,6,Returning,Mark Edwards,Glow & Go Studio
2023-04-08,Morning,Email,423.36,88.46,21,Returning,Christopher Black,Glow & Go Studio
2023-05-19,Night,Facebook,497.66,114.35,12,Returning,Sandra Hines,Glow & Go Studio
2023-04-18,Night,Instagram,402.76,211.52,4,New,Melissa Sparks,Glow & Go Studio
2023-06-18,Evening,Email,352.05,177.65,4,New,John Moss,Glow & Go Studio
2023-03-23,Morning,Referral,377.49,201.95,4,New,Michael Serrano,Glow & Go Studio
2023-03-15,Evening,Referral,18.94,8.36,0,Returning,Christina Perry,Glow & Go Studio
2023-03-13,Afternoon,Email,375.34,143.31,4,Returning,Shawn Duffy,Glow & Go Studio
2023-11-28,Morning,Google Ads,25.56,5.98,1,New,Courtney Vaughan,Glow & Go Studio
2023-10-15,Afternoon,Instagram,233.81,218.07,9,Returning,Maria Sims,Glow & Go Studio
2023-09-19,Evening,Instagram,275.08,204.73,8,New,Valerie Gonzalez,Glow & Go Studio
2023-07-29,Morning,Google Ads,132.74,101.25,5,Returning,Caroline Morales,Glow & Go Studio
2023-03-08,Afternoon,Email,129.06,58.74,8,Returning,David Davis,Glow & Go Studio
2023-02-02,Morning,Instagram,327.47,108.3,7,New,Travis Wilson,Glow & Go Studio
2023-03-28,Morning,Google Ads,175.12,90.43,5,New,Jessica Mora,Glow & Go Studio
2023-07-28,Morning,Email,86.4,46.69,1,New,Michael Wilson,Glow & Go Studio
2023-05-21,Evening,Instagram,166.59,112.36,1,Returning,Cheryl Atkins,Glow & Go Studio
2023-06-22,Night,Google Ads,86.57,22.38,1,Returning,Donna Snyder,Glow & Go Studio
2023-10-08,Morning,Instagram,132.26,38.85,3,New,Scott Greene,Glow & Go Studio
2023-04-16,Night,Referral,66.67,18.59,2,New,Diane Byrd MD,Glow & Go Studio
2023-04-07,Evening,Email,10.27,2.63,0,Returning,Charles Roberts,Glow & Go Studio
2023-01-29,Evening,Facebook,437.58,265.36,7,Returning,Luke Solomon,Glow & Go Studio
2023-12-11,Night,Google Ads,92.81,19.12,3,New,Michael Ellis,Glow & Go Studio
2023-05-17,Night,Google Ads,94.53,47.9,5,New,Casey Morris,Glow & Go Studio
2023-02-21,Morning,Email,52.65,14.93,0,New,Melissa Reeves,Glow & Go Studio
2023-05-24,Night,Instagram,380.82,88.92,9,Returning,Nancy Scott,Glow & Go Studio
2023-10-28,Morning,Facebook,82.24,18.11,1,Returning,Anthony Cook,Glow & Go Studio
2023-01-27,Night,Instagram,324.18,200,5,Returning,Terry Barajas,Glow & Go Studio
2023-04-14,Evening,Facebook,376.91,101.89,4,Returning,Tracy George,Glow & Go Studio
2023-03-11,Afternoon,Google Ads,493.63,244.29,13,New,Amber King,Glow & Go Studio
2023-06-24,Night,Facebook,474.44,115.27,42,New,Elizabeth Foster,Glow & Go Studio
2023-06-15,Afternoon,Walk-in,39.32,11.08,1,Returning,Walter Hansen,Glow & Go Studio
2023-12-30,Evening,Instagram,350.18,87.43,17,Returning,Debbie Gordon,Glow & Go Studio
2023-09-28,Night,Email,238.63,75.86,9,Returning,Sherry Anderson,Glow & Go Studio
2023-09-27,Morning,Instagram,284.24,76.36,3,Returning,Joseph Thomas,Glow & Go Studio
2023-03-07,Night,Google Ads,186.13,115.04,6,Returning,Andrew Anderson,Glow & Go Studio
2023-02-27,Night,Referral,377.41,361.73,4,Returning,Sandy Adkins,Glow & Go Studio
2023-04-28,Night,Google Ads,414.37,93.47,6,Returning,Diane Mcdowell,Glow & Go Studio
2023-12-12,Night,Email,408.54,194.26,7,New,Pam Baker,Glow & Go Studio
2023-04-20,Evening,Email,355.93,94.16,3,Returning,Steven Stewart,Glow & Go Studio
2023-04-13,Morning,Google Ads,265.74,104.24,3,New,Pamela Hernandez DVM,Glow & Go Studio
2023-12-29,Afternoon,Referral,321.51,74.58,4,New,Rebecca Brown,Glow & Go Studio
2023-12-16,Evening,Walk-in,290.33,178.87,18,Returning,David Johnson,Glow & Go Studio
2023-01-15,Evening,Referral,284.11,244.88,3,Returning,Michael Graham,Glow & Go Studio
2023-10-13,Night,Referral,172.61,73.55,2,New,Tammy Williams MD,Glow & Go Studio
2023-02-20,Night,Facebook,177.43,44.05,1,Returning,Karina Vasquez,Glow & Go Studio
2023-02-22,Evening,Instagram,193.68,85.93,10,New,Sharon Martinez,Glow & Go Studio
2023-12-13,Afternoon,Instagram,225.67,98.06,5,New,Sean White,Glow & Go Studio
2023-08-26,Night,Email,462.52,96.78,12,Returning,Jordan Nelson,Glow & Go Studio
2023-08-19,Afternoon,Referral,357.26,238.33,7,New,Laurie Silva,Glow & Go Studio
2023-11-10,Evening,Facebook,114.04,25.98,8,New,Kelly Duncan,Glow & Go Studio
2023-03-01,Morning,Walk-in,393.97,102.38,6,New,Billy Tate,Glow & Go Studio
2023-06-26,Night,Facebook,101.53,34.93,3,Returning,Stacy Johnson,Glow & Go Studio
2023-07-23,Night,Facebook,24.75,12.48,0,New,Melanie Long,Glow & Go Studio
2023-04-18,Night,Email,260.68,81.93,14,Returning,Tiffany Hood,Glow & Go Studio
2023-03-19,Morning,Walk-in,290.92,105.33,3,New,Brad Rivas,Glow & Go Studio
2023-03-20,Evening,Email,106.99,78.56,4,New,Jordan Moses,Glow & Go Studio
2023-09-19,Morning,Instagram,497.61,168.22,5,New,Abigail Booker,Glow & Go Studio
2023-06-18,Morning,Facebook,263.76,154.32,3,New,Tiffany Nguyen,Glow & Go Studio
2023-02-21,Morning,Instagram,310.13,90.93,3,Returning,Morgan Bernard,Glow & Go Studio
2023-07-15,Evening,Google Ads,184.26,178.44,1,Returning,Christine Williams,Glow & Go Studio
2023-06-25,Night,Walk-in,86.97,19.2,1,Returning,Erica Brown,Glow & Go Studio
2023-08-06,Afternoon,Instagram,346.91,78.2,5,New,Trevor James,Glow & Go Studio
2023-01-03,Afternoon,Walk-in,394.7,113.23,14,Returning,Christopher Hanna,Glow & Go Studio
2023-02-14,Morning,Walk-in,135.87,31.93,4,New,Ann Phelps,Glow & Go Studio
2023-02-15,Morning,Instagram,103.03,47.2,1,Returning,Richard Mitchell,Glow & Go Studio
2023-04-10,Afternoon,Email,467.44,206.01,5,Returning,Martha Martinez,Glow & Go Studio
2023-11-20,Night,Referral,12.52,5.66,0,New,Jeffrey Drake MD,Glow & Go Studio
2023-04-09,Night,Walk-in,364.57,76.14,4,Returning,Bonnie Wade,Glow & Go Studio
2023-09-15,Afternoon,Google Ads,488.59,114.63,16,New,Kayla Burns,Glow & Go Studio
2023-04-03,Morning,Walk-in,435.02,267.6,12,New,Karen Hart,Glow & Go Studio
2023-12-13,Afternoon,Instagram,271.98,126.22,6,Returning,Peter Shepherd,Glow & Go Studio
2023-10-25,Morning,Referral,213.23,44.61,4,Returning,Jessica Simmons,Glow & Go Studio
2023-03-25,Night,Facebook,40.84,9.45,0,Returning,Glenn Ford,Glow & Go Studio
2023-10-02,Evening,Facebook,83.14,51.25,1,Returning,Michael Moore,Glow & Go Studio
2023-06-12,Evening,Facebook,264.19,73.42,9,New,Mark Warren IV,Glow & Go Studio
2023-01-03,Evening,Facebook,202.09,65.48,2,Returning,Terry Woods,Glow & Go Studio
2023-12-10,Night,Referral,477.76,195.6,6,New,Carl Leach,Glow & Go Studio
2023-11-10,Morning,Referral,149.97,59.83,1,Returning,Kelly Phillips,Glow & Go Studio
2023-06-17,Morning,Facebook,326.88,268.9,4,Returning,Billy Williams,Glow & Go Studio
2023-09-06,Morning,Instagram,15.92,7.09,0,New,Jeffery Davis,Glow & Go Studio
2023-11-28,Afternoon,Instagram,386.79,91.97,5,Returning,Laura King,Glow & Go Studio
2023-03-24,Evening,Google Ads,475.82,154.04,27,Returning,Brad Gordon,Glow & Go Studio
2023-01-07,Night,Email,180.97,133.67,2,New,Matthew White,Glow & Go Studio
2023-06-26,Morning,Referral,496.7,159.12,10,Returning,James Miller,Glow & Go Studio
2023-11-01,Evening,Email,186.21,112.57,4,Returning,Elizabeth Matthews,Glow & Go Studio
2023-08-30,Afternoon,Google Ads,38.61,8.33,1,Returning,Michael Hanson,Glow & Go Studio
2023-06-29,Night,Email,249.21,73.97,4,New,Vincent Savage,Glow & Go Studio
2023-11-13,Morning,Email,359.8,172.1,4,New,Cody Burgess,Glow & Go Studio
2023-03-30,Afternoon,Facebook,363.59,81.35,22,Returning,Shelby Rodriguez,Glow & Go Studio
2023-07-26,Evening,Google Ads,222.83,147.08,9,New,Abigail Wilson,Glow & Go Studio
2023-03-25,Evening,Referral,173.38,35.33,2,Returning,John Holt,Glow & Go Studio
2023-01-14,Night,Email,422.56,89.06,6,New,Tracy Guzman,Glow & Go Studio
2023-12-18,Night,Facebook,86.32,22.99,4,Returning,Mr. William Ward,Glow & Go Studio
2023-06-18,Morning,Walk-in,45.77,21.23,1,Returning,Melissa Foster,Glow & Go Studio
2023-01-08,Evening,Instagram,68.92,15.33,2,New,Calvin Smith,Glow & Go Studio
2023-02-02,Night,Facebook,475.64,331.6,6,New,Alan Waller,Glow & Go Studio
2023-07-20,Afternoon,Instagram,32.75,26.95,0,New,Christine Wong,Glow & Go Studio
2023-06-05,Afternoon,Instagram,87.56,32.22,4,New,Jessica Garrett,Glow & Go Studio
2023-01-02,Afternoon,Facebook,374.8,141.61,3,Returning,Cheryl Turner,Glow & Go Studio
2023-12-24,Afternoon,Referral,157.62,85.55,5,New,John Johnson,Glow & Go Studio
2023-05-04,Afternoon,Google Ads,227.9,191.34,3,New,Christian Park,Glow & Go Studio
2023-01-28,Evening,Referral,161.97,135.46,2,New,Kaitlyn Heath,Glow & Go Studio
2023-12-26,Morning,Referral,50.35,18.43,0,Returning,Christina Hudson,Glow & Go Studio
2023-11-04,Morning,Email,378.84,269.91,3,New,Amber Smith,Glow & Go Studio
2023-05-02,Evening,Google Ads,14.54,8.07,0,New,Michelle Petty,Glow & Go Studio
2023-10-22,Morning,Instagram,136.32,48.53,2,New,Nancy Larson,Glow & Go Studio
2023-08-27,Morning,Walk-in,327.44,72.28,20,Returning,Donna Freeman,Glow & Go Studio
2023-11-25,Night,Email,210.48,62.02,2,New,Mr. Logan Gregory,Glow & Go Studio
2023-03-03,Evening,Referral,154.09,34.22,7,Returning,Katherine Klein,Glow & Go Studio
2023-12-13,Night,Google Ads,455.08,119.41,4,New,Jennifer Stewart,Glow & Go Studio
2023-05-22,Afternoon,Walk-in,204.68,128.47,11,Returning,Steven Butler,Glow & Go Studio
2023-10-07,Evening,Facebook,80.35,20.59,7,Returning,Johnny Mcmillan,Glow & Go Studio
2023-04-11,Evening,Google Ads,290.63,64.93,3,Returning,Michael Smith,Glow & Go Studio
2023-01-06,Morning,Referral,333.38,136.39,4,New,Corey Cooper,Glow & Go Studio
2023-12-27,Afternoon,Instagram,133.06,46.76,1,Returning,Daniel Stout,Glow & Go Studio
2023-01-25,Afternoon,Walk-in,444.6,227.9,4,Returning,Lance Kirby,Glow & Go Studio
2023-11-12,Afternoon,Instagram,115.46,50.41,2,New,Bonnie Carter,Glow & Go Studio
2023-02-23,Evening,Email,317.46,161.8,6,Returning,Toni Whitaker,Glow & Go Studio
2023-05-09,Evening,Facebook,470.29,104.4,6,New,Morgan Flynn,Glow & Go Studio
2023-07-09,Morning,Facebook,334.74,177.74,32,New,Sarah Howell,Glow & Go Studio
2023-03-20,Morning,Google Ads,45.69,16.48,1,Returning,Paul Estrada,Glow & Go Studio
2023-07-20,Evening,Facebook,231.56,93.09,2,New,Curtis Obrien,Glow & Go Studio
2023-12-13,Night,Google Ads,82.5,69.33,6,Returning,Jason Chaney,Glow & Go Studio
2023-11-03,Afternoon,Walk-in,372.22,351.56,6,New,Daniel Williams,Glow & Go Studio
2023-04-19,Night,Facebook,312.82,141.34,18,Returning,Stanley Kelly,Glow & Go Studio
2023-06-08,Morning,Facebook,373.92,79.82,22,Returning,Ronald Kline,Glow & Go Studio
2023-05-17,Night,Walk-in,382.84,91.85,3,New,Arthur Jordan,Glow & Go Studio
2023-11-13,Afternoon,Facebook,409.39,92.19,4,New,Barbara Walker,Glow & Go Studio
2023-10-26,Afternoon,Walk-in,168.14,49.15,5,New,Gerald Kelly,Glow & Go Studio
2023-11-22,Afternoon,Walk-in,17.12,7.31,0,New,Shawn Adams,Glow & Go Studio
2023-12-30,Evening,Walk-in,126.99,62.18,2,Returning,Michael Robertson,Glow & Go Studio
2023-07-17,Afternoon,Walk-in,452.72,171.6,20,New,Michelle House,Glow & Go Studio
2023-04-05,Evening,Email,157.83,58.98,2,Returning,Jim Skinner,Glow & Go Studio
2023-09-29,Night,Email,482.33,115.02,11,Returning,Brian Bishop,Glow & Go Studio
2023-10-23,Night,Email,353.7,286.83,10,Returning,Theresa Colon,Glow & Go Studio
2023-09-06,Afternoon,Facebook,374.2,90.06,3,New,Brian Soto,Glow & Go Studio
2023-06-03,Afternoon,Facebook,284.01,81.06,11,New,Susan Moore,Glow & Go Studio
2023-07-19,Afternoon,Referral,299.06,101.73,10,Returning,Jeremy Hunter,Glow & Go Studio
2023-10-13,Afternoon,Google Ads,286.36,58.19,7,New,Annette Holland,Glow & Go Studio
2023-06-29,Morning,Google Ads,432.16,225.67,10,New,Chad Allison,Glow & Go Studio
2023-09-12,Morning,Walk-in,228.57,110.19,15,Returning,Jason Mack,Glow & Go Studio
2023-07-28,Afternoon,Google Ads,205.24,97.95,2,New,Robert Peterson,Glow & Go Studio
2023-12-19,Afternoon,Email,209.6,58.02,3,Returning,Angela Watson,Glow & Go Studio
2023-10-03,Morning,Instagram,109.93,24.07,1,New,Heather Ortega,Glow & Go Studio
2023-03-21,Evening,Walk-in,433.31,236.04,13,Returning,Paul Fisher,Glow & Go Studio
2023-05-20,Morning,Instagram,431.13,196.95,7,Returning,Robert Gutierrez,Glow & Go Studio
2023-10-02,Evening,Facebook,486.88,121.94,11,New,Jimmy Phelps,Glow & Go Studio
2023-11-03,Night,Walk-in,481.47,201.39,4,Returning,Heidi Johnson,Glow & Go Studio
2023-11-08,Evening,Email,341.27,125.6,5,Returning,Adam Drake,Glow & Go Studio
2023-12-22,Night,Walk-in,299.76,102.41,8,New,Angela Edwards,Glow & Go Studio
2023-12-09,Night,Google Ads,348.82,92.95,6,New,Mrs. Amy Malone,Glow & Go Studio
2023-02-19,Morning,Email,193.02,57.54,3,Returning,Margaret Orr,Glow & Go Studio
2023-08-22,Morning,Email,189.94,46.57,8,Returning,Mark Reeves,Glow & Go Studio
2023-08-19,Afternoon,Walk-in,175.78,88.28,5,New,Kelly Phillips,Glow & Go Studio
2023-10-21,Morning,Facebook,12.41,3.23,0,New,Michael Spencer,Glow & Go Studio
2023-10-25,Morning,Referral,147.52,66.46,4,New,Patrick Blankenship,Glow & Go Studio
2023-02-08,Evening,Email,193.4,63.01,1,Returning,Douglas Rose,Glow & Go Studio
2023-03-21,Afternoon,Instagram,483.86,328.89,8,New,Melody Griffin,Glow & Go Studio
2023-08-04,Morning,Email,482.57,117.26,15,New,Joshua Kramer,Glow & Go Studio
2023-03-26,Night,Google Ads,113.85,26.35,3,Returning,Melissa Barron,Glow & Go Studio
2023-03-31,Night,Walk-in,427.5,171.83,14,New,Jennifer Gonzalez,Glow & Go Studio
2023-07-25,Afternoon,Google Ads,183.04,44.24,2,New,Andrew Cook,Glow & Go Studio
2023-06-23,Evening,Google Ads,215.37,53.36,2,New,Natalie Martinez,Glow & Go Studio
2023-03-19,Night,Email,320.92,77.36,3,Returning,Diane Davis DDS,Glow & Go Studio
2023-09-17,Afternoon,Facebook,110.05,108.31,5,New,Nicole Moore,Glow & Go Studio
2023-02-03,Night,Facebook,80.25,40.02,3,Returning,Robert Vargas,Glow & Go Studio
2023-01-31,Afternoon,Email,113.07,101.86,1,Returning,Raymond Barber,Glow & Go Studio
2023-06-20,Night,Google Ads,267.67,138.07,2,Returning,Mrs. Amy Watson,Glow & Go Studio
2023-07-30,Evening,Facebook,218.32,56.09,2,Returning,Heather Williams,Glow & Go Studio
2023-09-19,Night,Referral,262.27,115.05,21,New,Belinda Evans,Glow & Go Studio
2023-06-01,Afternoon,Walk-in,157.92,37.08,8,Returning,Jody Bird,Glow & Go Studio
2023-09-24,Afternoon,Referral,313.09,116.76,4,New,Virginia Cunningham,Glow & Go Studio
2023-10-02,Evening,Referral,475.45,131.21,6,New,Lori Ferguson,Glow & Go Studio
2023-10-18,Evening,Walk-in,321.74,149.61,3,New,Hayley Mitchell,Glow & Go Studio
